Jersey,Player,Yr,Pos,GP,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
8,"Aiken, Mikaela",Jr,SP/RP,4,,1,,0.00,1.1,3,4,,1,1,,11,9,,,,,,,1,,,,,,,,,2,1,,,
7,"Dail, Jordan",Fr,SP,25,14,25,14,3.07,98.0,73,56,43,51,116,2,442,350,12,3,8,1,27,,30,38,,8,11,5,7,4,,58,107,6,10,1
25,"Eberle, Carrie",So,P,44,42,33,28,1.72,187.0,123,70,46,62,131,5,756,677,21,1,4,1,6,,7,20,,21,8,2,8,2,,340,71,12,16,1
3,"Rochard, Keely",Fr,SP,18,11,18,11,3.03,69.1,57,41,30,28,68,,303,260,8,2,5,1,4,,7,16,,2,7,3,7,1,,49,87,5,4,
