Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
88,"Allen, Kaylee",Sr,SP/RP,33,21,,,0.00,31.1,55,0,0,13,16,,168,146,5,1,1,,1,,2,6,,,,,,,,41,34,,,
24,"Alverson, Camryn",Fr,SP/RP,33,10,,,0.00,10.0,20,0,0,11,1,,62,49,6,2,1,,2,,,1,,,,,,,,15,12,,,
13,"Cook, Alex",Sr,SP/RP,30,18,,,0.00,29.0,54,0,0,11,10,,164,147,9,1,2,,4,,,4,,,,,,,,51,21,,,
11,"Ramsbottom, Sarah",Fr,SP/RP,11,7,,,0.00,7.2,10,0,0,7,2,,42,34,,,3,,2,,,2,,,,,,,,13,7,,,
