Ramsey?K walked (3-2 BBKBFB).
Wike?T out at first c to 2b? SAC? bunt (1-0 B)3a Ramsey?K advanced to second.
Burkhardt?K struck out swinging (2-2 BBKFS).
Ramsey?K out at third c to 2b to 3b? caught stealing.
Bailiff?K hit by pitch (0-0).
West?B pinch ran for Bailiff?K.
Delamora?B hit by pitch (0-0)3a West?B advanced to second.
Cole?H pinch ran for Delamora?B.
Cole?H advanced to second on a passed ball? stole third3a West?B advanced to third? stole home.
Parkinson?S walked (3-0 BBBB).
Dray?M singled through the left side? RBI (0-2 FF)3a Parkinson?S advanced to second3a Cole?H scored.
Pickett?B popped up to 2b (0-0).
DeBerry?D singled to pitcher (0-0)3a Dray?M advanced to second3a Parkinson?S advanced to third.
Ramsey?K walked? RBI (3-2 BFFBBB)3a DeBerry?D advanced to second3a Dray?M advanced to third3a Parkinson?S scored.
Rochard? K. to p for Dail? J..
Ramsey?K advanced to second3a DeBerry?D advanced to third3a Dray?M scored on a wild pitch.
Wike?T walked (3-2 BBBSSB).
Burkhardt?K doubled to right field? out at second rf to 2b? 2 RBI (0-0)3a Wike?T advanced to third3a Ramsey?K scored3a DeBerry?D scored.
Bailiff?K to c for West?B.
Bailiff?K struck out swinging (3-2 BBBKKS).
Delamora?B to dp for Cole?H.
Delamora?B walked (3-2 BBBKKB).
Parkinson?S out at first p to 2b? SAC? bunt (0-0)3a Delamora?B advanced to second.
Dray?M flied out to lf (1-1 FB).
Pickett?B walked.
DeBerry?D singled to second base (0-1 F)3a Pickett?B advanced to second3a Delamora?B advanced to third.
Burns?B pinch ran for Pickett?B.
Ramsey?K homered to center field? 4 RBI (1-1 BK)3a DeBerry?D scored3a Burns?B scored3a Delamora?B scored.
Wike?T fouled out to c (1-0 B).
Burkhardt?K grounded out to c unassisted (0-0).
Bailiff?K flied out to cf (2-2 FFBB).
Delamora?B singled to right field (1-1 BK).
Jensen?H pinch hit for Parkinson?S.
Jensen?H singled to pitcher (3-2 SBSBB)3a Delamora?B advanced to second.
Parkinson?S to 2b for Jensen?H.
Dray?M flied out to cf (1-2 SBSF).
Ramsey?K grounded out to ss (3-1 BBBK).
Wike?T grounded out to 2b (1-2 KFB).
Burkhardt?K walked (3-2 KBFBBB).
Burkhardt?K stole second.
Bailiff?K reached on a fielding error by 2b (1-2 BKS)3a Burkhardt?K scored? unearned.
Delamora?B hit by pitch (0-0)3a Bailiff?K advanced to second.
West?B pinch ran for Bailiff?K.
Parkinson?S reached on a fielding error by 1b? out at second 1b to cf (1-1 BF)3a Delamora?B advanced to third3a West?B scored? unearned.
Dray?M grounded out to p (1-0 B).
Shifflett?K doubled down the lf line (1-2 BKKF).
Cole?H pinch ran for Shifflett?K.
DeBerry?D grounded out to c unassisted (0-0).
Ramsey?K grounded out to p (0-0).
Eberle? C. to p for Johnson? K..
Wike?T grounded out to 2b (1-2 FFB).
Burkhardt?K grounded out to p (0-0).
Bailiff?K singled up the middle (1-1 BF).
Delamora?B reached on a fielder's choice (3-1 BKBB)3a Bailiff?K out at second ss to 2b.
Parkinson?S flied out to lf (1-0 B).
Dray?M grounded out to p (0-1 K).
Shifflett?K grounded out to 2b (0-0).
DeBerry?D grounded out to c unassisted (0-2 FS).
Ramsey?K singled? bunt (0-0).
Wike?T lined into double play 1b unassisted (2-0 BB)3a Ramsey?K out on the play.
Burkhardt?K singled to center field (3-1 KBBB).
Bailiff?K reached on a fielder's choice (0-1 F)3a Burkhardt?K out at second ss to 2b.
Delamora?B grounded out to 2b (2-2 KBBSF)3a Bailiff?K advanced to second.
Parkinson?S grounded out to 1b unassisted (0-1 F).
Dray?M grounded out to 2b (1-2 FKB).
Shifflett?K grounded out to 3b (1-2 KBS).
Goodman?Z pinch hit for DeBerry?D.
Goodman?Z grounded out to 2b (1-1 BK).
Ramsey?K singled? bunt (0-0).
Wike?T singled? bunt (1-1 FB)3a Ramsey?K advanced to second.
Burkhardt?K reached on a fielder's choice (0-1 K)3a Wike?T out at second 2b unassisted3a Ramsey?K advanced to third.
Burkhardt?K stole second.
Bailiff?K grounded out to 1b unassisted (1-2 SSBFFF).
Delamora?B walked (3-2 BBBFKB).
