Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
9,"Cook, CC",Fr,SP,48,46,,,0.00,0.1,0,0,0,1,1,,2,1,,,,,,,,,,,,,,,,,,,,
25,"Dreswick, Jessica",Sr,SP/RP,44,32,,,0.00,146.0,101,0,0,47,111,,622,539,16,5,7,,4,,24,28,0,,,,,,,153,166,,,
38,"Frei, Allyson",Jr,SP/RP,35,21,,,0.00,91.2,66,0,0,46,102,,409,330,12,1,6,,4,,21,20,0,,,,,,,75,91,,,
