Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
4,"Dawson, Sarah",Jr,SP,34,24,,,0.00,104.2,110,0,0,20,43,,445,409,14,2,16,,2,,5,20,0,,,,,,,151,99,,,
27,"Harris, Kayla",Sr,SP,31,23,,,0.00,88.0,93,0,0,25,22,,374,346,15,1,10,,,,1,11,1,,,,,,,133,92,,,
30,"Knight, Brittany",So,SP,10,1,,,0.00,12.2,12,0,0,8,1,,60,49,2,1,2,,,,3,,,,,,,,,18,18,,,
11,"Rahach, Taylor",Jr,SP,18,4,,,0.00,24.2,25,0,0,19,21,,118,93,6,,5,,6,,4,9,0,,,,,,,21,27,,,
