Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
9,"Cook, CC",Fr,SP,48,46,,,0.00,0.2,0,0,0,0,0,,2,2,,,,,1,,,,,,,,,,,2,,,,
25,"Dreswick, Jessica",Sr,SP/RP,44,32,,,0.00,64.2,72,0,0,37,73,,308,261,13,,1,,3,,5,16,0,,,,,,,55,55,,,
38,"Frei, Allyson",Jr,SP/RP,35,21,,,0.00,60.1,62,0,0,35,39,,281,230,7,,3,,3,,7,15,0,,,,,,,95,35,,,
