Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
2,"Daly, Kellyn",So,SP/RP,10,6,,,0.00,18.1,24,0,0,20,3,,98,73,4,,4,,4,,3,1,,,,,,,,19,27,,,
24,"Nommensen, Hannah",So,SP/RP,13,6,,,0.00,15.0,19,0,0,24,5,,91,60,1,1,2,,3,,5,1,,,,,,,,12,26,,,
13,"Olinger, Katie Grace",Fr,SP/RP,13,6,,,0.00,17.0,29,0,0,8,18,,93,75,8,1,2,,1,,3,5,,,,,,,,13,21,,,
28,"Pickett, Brittany",So,SP/RP,53,46,,,0.00,222.2,185,0,0,51,152,,922,834,37,4,26,,3,,18,47,2,,,,,,,236,256,,,
20,"Todd, Hannah",Fr,SP/RP,5,2,,,0.00,2.0,4,0,0,2,0,,11,9,2,,,,,,,,,,,,,,,1,4,,,
