Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
27,"Butler, Brianna",Fr,UT,28,15,,,0.00,11.1,16,0,0,1,3,,52,50,1,2,,,1,,,,,,,,,,,24,5,,,
7,"Huey, Katherine",Fr,SP/RP,41,35,,,0.00,39.2,31,0,0,10,16,,162,147,4,,2,,2,,1,4,0,,,,,,,65,32,,,
10,"St. George, Peyton",Fr,SP/RP,38,10,,,0.00,26.0,27,0,0,7,17,,116,103,5,,1,,3,,,2,,,,,,,1,38,22,,,
19,"Wiercioch, Amelia",Fr,SP/RP,55,45,,,0.00,47.1,48,0,0,13,21,,205,180,6,3,,,,,2,6,1,,,,,,,93,20,,,
