Jersey,Player,Yr,Pos,GP,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
2,"Daly, Kellyn",So,SP/RP,10,6,10,6,5.60,25.0,35,28,20,26,5,,138,104,7,,4,,5,,3,1,,,3,1,5,,,31,32,1,3,
24,"Nommensen, Hannah",So,SP/RP,13,6,13,6,8.03,22.2,29,29,26,27,8,,133,94,3,1,4,,4,,9,1,,,6,,3,,,23,34,,6,
13,"Olinger, Katie Grace",Fr,SP/RP,13,6,12,5,5.92,23.2,49,27,20,13,24,,142,114,10,1,3,,2,,5,6,,1,10,7,6,4,,22,26,1,3,
28,"Pickett, Brittany",So,SP/RP,53,46,51,37,2.31,299.2,258,118,99,76,216,10,"1,256","1,128",49,4,30,,6,,22,63,3,32,31,12,23,7,,313,338,28,12,2
20,"Todd, Hannah",Fr,SP/RP,5,2,5,2,18.67,3.0,4,8,8,6,,,19,12,2,,,,,,1,,,,5,1,,,,2,6,,2,
