Jersey,Player,Yr,Pos,GP,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
20,"Ablan, Amanda",So,SP/RP,15,9,15,9,3.13,38.0,24,20,17,36,46,,178,134,4,,4,5,6,,4,7,,1,,,4,,,21,43,2,4,
5,"Avant, Mary Wilson",So,SP/RP,32,21,32,21,2.26,117.2,98,56,38,50,93,2,523,451,11,2,6,9,5,,11,22,,8,8,1,8,3,,154,92,12,5,2
24,"Bass, Kylie",Jr,SP/RP,25,13,25,13,2.00,101.1,70,37,29,21,89,2,419,372,10,1,11,5,5,,17,17,,4,23,4,6,2,,65,149,15,3,2
18,"Gray, Brittany",Sr,SP/RP,20,16,20,16,0.48,102.1,46,8,7,23,134,7,384,348,10,1,1,3,2,,8,36,,12,6,,4,1,,112,54,16,1,2
0,"Mathis, Lauren",Fr,SP/RP,14,2,14,2,2.71,31.0,24,12,12,13,26,,131,111,2,,2,3,2,,3,9,,,1,1,3,1,,21,43,3,,
13,"McPherson, Madison",Fr,UT,5,,1,,5.25,1.1,2,1,1,1,,,6,5,,,,,1,,,,,,1,,,,,3,,,,
17,"Napoli, Keara",Fr,SP/RP,7,,7,,1.75,8.0,8,4,2,2,3,,37,32,,1,,2,,,1,,,,4,1,2,,,15,5,,,
