Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
20,"Ablan, Amanda",So,SP/RP,15,9,,,0.00,22.2,13,0,0,23,25,,105,76,3,,3,,4,,4,4,,,,,,,,9,31,,,
5,"Avant, Mary Wilson",So,SP/RP,32,21,,,0.00,66.2,53,0,0,23,56,,289,249,5,2,5,,2,,10,13,0,,,,,,,79,59,,,
24,"Bass, Kylie",Jr,SP/RP,25,13,,,0.00,59.2,27,0,0,10,56,,231,204,4,,7,,4,,11,9,,,,,,,,33,89,,,
18,"Gray, Brittany",Sr,SP/RP,20,16,,,0.00,65.0,22,0,0,11,93,,229,208,3,1,1,,1,,5,25,0,,,,,,,65,29,,,
0,"Mathis, Lauren",Fr,SP/RP,14,2,,,0.00,20.2,16,0,0,8,21,,88,75,2,,1,,2,,3,9,0,,,,,,,11,29,,,
13,"McPherson, Madison",Fr,UT,5,,,,0.00,1.0,1,0,0,1,0,,4,3,,,,,1,,,,,,,,,,,2,,,,
17,"Napoli, Keara",Fr,SP/RP,7,,,,0.00,3.2,3,0,0,2,1,,20,15,,,,,,,2,,,,,,,,,5,5,,,
