Jersey,Player,Yr,Pos,GP,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
9,"Cook, CC",Fr,SP,48,46,1,,0.00,1.0,0,,,1,1,,4,3,,,,1,1,,,,,,,,,,,2,,,,
25,"Dreswick, Jessica",Sr,SP/RP,44,32,44,32,2.43,210.2,173,98,73,84,184,5,930,800,29,5,8,2,7,,29,44,,17,10,3,12,5,,208,221,18,11,1
38,"Frei, Allyson",Jr,SP/RP,35,21,35,21,2.53,152.0,128,74,55,81,141,4,690,560,19,1,9,1,7,,28,35,,9,8,3,17,4,,170,126,12,12,
