Jersey,Player,Yr,Pos,GP,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
88,"Allen, Kaylee",Sr,SP/RP,33,21,33,21,6.01,115.1,146,104,99,44,61,,557,475,26,3,26,,1,,17,19,,6,11,4,16,5,,106,169,2,19,
24,"Alverson, Camryn",Fr,SP/RP,33,10,20,,4.03,41.2,50,31,24,24,18,,206,174,10,3,3,,6,,3,9,,,15,5,4,1,,35,64,2,1,
13,"Cook, Alex",Sr,SP/RP,30,18,30,18,4.95,103.1,166,117,73,21,55,,539,494,31,2,7,,15,,13,15,,7,18,7,7,4,,173,68,,16,
11,"Ramsbottom, Sarah",Fr,SP/RP,11,7,11,7,10.02,21.2,29,38,31,21,8,,125,91,5,,5,,6,,7,2,,,1,,3,3,,23,33,,6,
