Jersey,Player,Yr,Pos,GP,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
27,"Butler, Brianna",Fr,UT,28,15,11,6,2.00,28.0,34,19,8,9,15,,133,118,5,2,1,1,2,,4,1,,,1,1,1,1,,42,24,1,2,
7,"Huey, Katherine",Fr,SP/RP,41,35,31,20,2.43,109.2,102,59,38,38,57,1,485,434,13,1,8,1,3,,3,13,,3,12,7,8,2,,157,104,9,9,
10,"St. George, Peyton",Fr,SP/RP,38,10,35,8,1.79,93.2,81,37,24,34,96,1,407,354,17,1,6,3,6,,3,20,2,2,27,7,13,2,1,100,80,8,4,1
19,"Wiercioch, Amelia",Fr,SP/RP,55,45,42,22,1.95,154.2,140,73,43,45,94,2,669,597,26,3,8,3,3,,9,26,4,4,17,6,16,2,,291,62,11,12,2
