Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
4,"Dawson, Sarah",Jr,SP,34,24,,,0.00,44.2,43,0,0,21,32,,198,174,10,1,3,,,,,9,0,,,,,,,63,29,,,
27,"Harris, Kayla",Sr,SP,31,23,,,0.00,46.2,47,0,0,9,27,,196,187,6,,6,,,,,10,0,,,,,,,75,32,,,
30,"Knight, Brittany",So,SP,10,1,,,0.00,5.1,5,0,0,1,0,,24,23,,,,,,,,,,,,,,,,7,8,,,
11,"Rahach, Taylor",Jr,SP,18,4,,,0.00,19.2,23,0,0,9,11,,93,79,4,,3,,1,,2,6,,,,,,,,26,20,,,
