Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
27,"Butler, Brianna",Fr,UT,28,15,,,0.00,16.2,18,0,0,8,12,,81,68,4,,1,,1,,4,1,,,,,,,,18,19,,,
7,"Huey, Katherine",Fr,SP/RP,41,35,,,0.00,70.0,71,0,0,28,41,,323,287,9,1,6,,1,,2,9,,,,,,,,91,72,,,
10,"St. George, Peyton",Fr,SP/RP,38,10,,,0.00,67.2,54,0,0,27,79,,291,251,12,1,5,,3,,3,18,2,,,,,,,62,58,,,
19,"Wiercioch, Amelia",Fr,SP/RP,55,45,,,0.00,107.1,92,0,0,32,73,,464,417,20,,8,,3,,7,20,3,,,,,,,198,42,,,
