Jersey,Player,Yr,Pos,GP,GS,App,GS,ERA,IP,HA,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,HR-A,CSO,WP,BK,HB,KL,IBB,CG,Inh Run,Inh Run Score,SHA,SFA,CIA,GO,FO,W,L,SV
2,"Daly, Kellyn",So,SP/RP,10,6,,,0.00,6.2,11,0,0,6,2,,40,31,3,,,,1,,,,,,,,,,,12,5,,,
24,"Nommensen, Hannah",So,SP/RP,13,6,,,0.00,7.2,10,0,0,3,3,,42,34,2,,2,,1,,4,,,,,,,,,11,8,,,
13,"Olinger, Katie Grace",Fr,SP/RP,13,6,,,0.00,6.2,20,0,0,5,6,,49,39,2,,1,,1,,2,1,,,,,,,,9,5,,,
28,"Pickett, Brittany",So,SP/RP,53,46,,,0.00,77.0,73,0,0,25,64,,334,294,12,,4,,3,,4,16,1,,,,,,,77,82,,,
20,"Todd, Hannah",Fr,SP/RP,5,2,,,0.00,1.0,0,0,0,4,0,,8,3,,,,,,,1,,,,,,,,,1,2,,,
