x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,3,0,2,0,0,0,3,0,0
doubled,2,2,1,0,0,0,0,0,0
tripled,0,0,1,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,0,0,1,2,0,0,0,0
lined,0,1,2,0,0,0,0,0,1
flied,2,0,0,0,0,0,0,0,0
grounded,0,0,0,3,1,6,0,4,1
at bat,62
walked,4
out,15
advanced,14
scored,5
