x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,0,0,0,0,0,1,2,0,0
doubled,0,3,1,0,0,0,0,0,0
tripled,1,0,0,0,0,0,0,0,0
homered,1,0,0,0,0,0,0,0,0
popped,0,0,0,1,1,2,0,1,1
lined,0,1,0,0,0,1,0,0,1
flied,8,2,2,0,0,0,0,0,0
grounded,0,0,0,0,1,5,0,1,0
at bat,57
walked,6
out,13
advanced,13
scored,1
