x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,4,1,1,0,2,0,1,0,0
doubled,0,0,0,0,0,0,0,0,0
tripled,1,0,0,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,0,0,0,1,1,0,1,0
lined,0,0,1,0,0,0,0,0,0
flied,1,0,2,0,0,0,0,0,0
grounded,0,0,0,2,5,1,0,0,1
at bat,49
walked,4
out,16
advanced,1
scored,3
