x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,3,1,3,0,2,1,3,0,0
doubled,0,4,0,0,0,0,0,0,0
tripled,0,0,0,0,0,0,0,0,0
homered,1,0,0,0,0,0,0,0,0
popped,0,0,0,0,1,3,0,2,0
lined,0,0,0,0,0,1,0,0,0
flied,4,2,1,0,0,0,0,0,0
grounded,0,0,0,1,2,3,0,4,1
at bat,61
walked,7
out,7
advanced,15
scored,4
