x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,0,2,3,0,0,1,3,0,1
doubled,0,0,0,0,0,0,0,0,0
tripled,0,0,0,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,0,0,1,0,0,0,1,0
lined,0,0,0,0,0,0,0,0,0
flied,0,0,0,0,0,0,0,0,0
grounded,2,0,0,1,2,4,0,2,1
at bat,47
walked,2
out,20
advanced,6
scored,1
