<<<<<<< HEAD
x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,0,0,0,0,2,1,2,0,0
doubled,0,2,0,0,0,0,0,0,0
tripled,0,0,0,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,0,0,0,1,2,0,1,0
lined,0,0,0,0,0,0,0,0,0
flied,1,0,0,0,0,0,0,0,0
grounded,1,0,0,0,2,1,0,0,0
at bat,36
walked,1
out,19
advanced,2
scored,0
=======
x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,0,0,0,0,2,1,2,0,0
doubled,0,2,0,0,0,0,0,0,0
tripled,0,0,0,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,0,0,0,1,2,0,1,0
lined,0,0,0,0,0,0,0,0,0
flied,1,0,0,0,0,0,0,0,0
grounded,1,0,0,0,2,1,0,0,0
at bat,36
walked,1
out,19
advanced,2
scored,0
>>>>>>> e90c9cd931cefe25ffa88b0bf838963594fddaab
