x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,2,1,2,0,1,1,2,0,0
doubled,0,1,0,0,0,0,0,0,0
tripled,0,0,0,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,0,0,0,0,1,0,1,0
lined,0,0,0,0,0,0,0,0,0
flied,1,4,0,0,0,0,0,0,0
grounded,0,0,0,0,1,2,0,0,0
at bat,51
walked,8
out,21
advanced,2
scored,2
