x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,0,2,0,0,1,0,5,0,2
doubled,0,2,1,0,0,0,0,0,0
tripled,0,0,0,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,0,0,0,0,0,0,1,0
lined,0,0,0,0,1,0,0,1,0
flied,2,0,2,0,0,0,0,0,0
grounded,0,0,0,3,1,3,0,1,1
at bat,54
walked,4
out,14
advanced,13
scored,7
