x,center,left,right,first,second,third,N/A,to ss,to pitcher
singled,2,0,0,0,0,6,1,0,1
doubled,0,0,0,0,0,0,0,0,0
tripled,0,0,0,0,0,0,0,0,0
homered,0,0,0,0,0,0,0,0,0
popped,0,1,0,0,0,1,0,2,0
lined,0,1,0,0,0,4,0,0,0
flied,0,0,0,0,0,0,0,0,0
grounded,1,0,0,0,4,8,0,3,2
at bat,51
walked,1
out,11
advanced,10
scored,2
